类别：所有类别

周,pandas: (全球),NumPy: (全球),matplotlib: (全球),scikit-learn: (全球)
2019-12-15,84,38,25,18
2019-12-22,51,24,15,12
2019-12-29,50,25,13,12
2020-01-05,81,36,23,17
2020-01-12,82,40,26,17
2020-01-19,88,41,27,19
2020-01-26,89,41,25,18
2020-02-02,98,43,27,20
2020-02-09,95,45,29,21
2020-02-16,99,49,30,21
2020-02-23,96,47,30,22
2020-03-01,100,49,29,22
2020-03-08,90,44,29,19
2020-03-15,84,38,26,17
2020-03-22,89,42,28,19
2020-03-29,94,44,30,19
2020-04-05,91,46,30,19
2020-04-12,95,47,31,19
2020-04-19,96,51,32,21
2020-04-26,94,46,31,20
2020-05-03,94,48,31,20
2020-05-10,96,44,31,21
2020-05-17,94,46,30,21
2020-05-24,95,45,28,20
2020-05-31,91,42,31,20
2020-06-07,95,44,28,20
2020-06-14,96,42,29,19
2020-06-21,99,41,29,19
2020-06-28,88,39,27,18
2020-07-05,93,40,28,19
2020-07-12,95,41,30,19
2020-07-19,95,42,28,20
2020-07-26,96,41,28,20
2020-08-02,92,37,27,18
2020-08-09,88,36,25,18
2020-08-16,89,39,27,18
2020-08-23,89,38,25,17
2020-08-30,90,40,26,18
2020-09-06,89,41,27,18
2020-09-13,92,45,28,18
2020-09-20,91,44,28,18
2020-09-27,79,39,23,16
2020-10-04,80,39,26,17
2020-10-11,72,37,24,16
2020-10-18,73,37,22,16
2020-10-25,71,36,23,16
2020-11-01,65,34,21,14
2020-11-08,70,36,23,15
2020-11-15,72,36,24,16
2020-11-22,66,34,22,15
2020-11-29,63,33,23,15
