类别：所有类别

周,XGBoost: (全球),lightgbm: (全球),catboost: (全球)
2020-08-02,68,31,10
2020-08-09,67,21,11
2020-08-16,69,28,8
2020-08-23,83,25,17
2020-08-30,81,25,8
2020-09-06,68,32,9
2020-09-13,85,34,18
2020-09-20,66,21,18
2020-09-27,55,20,9
2020-10-04,61,20,14
2020-10-11,44,25,11
2020-10-18,51,11,5
2020-10-25,57,20,5
2020-11-01,52,10,8
2020-11-08,61,15,13
2020-11-15,62,19,3
2020-11-22,62,12,7
2020-11-29,58,7,7
